Number of Results: 809 for Search Topic: Cancer
Showing only first 25 results from first page. 

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012053.pub2/full | Cancer | <i>Coriolus (Trametes) versicolor</i> mushroom to reduce adverse effects from chemotherapy or radiotherapy in people with colorectal cancer | Karen Pilkington, L Susan Wieland, Lida Teng, Xin Yan Jin, Dawn Storey, Jian Ping Liu | 29 November 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013604.pub2/full | Cancer | Pre‐emptive antifungal therapy versus empirical antifungal therapy for febrile neutropenia in people with cancer | Yu Uneno, Haruki Imura, Yosuke Makuuchi, Kentaro Tochitani, Norio Watanabe | 28 November 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011335.pub3/full | Cancer | Interventions for preventing and ameliorating cognitive deficits in adults treated with cranial irradiation | Matthew A Kirkman, Julia Day, Karin Gehring, Karolis Zienius, David Grosshans, Martin Taphoorn, Jing Li, Paul D Brown | 25 November 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012020.pub3/full | Cancer | Preoperative exercise training for people with non‐small cell lung cancer | Catherine Granger, Vinicius Cavalheri | 28 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD014638.pub2/full | Cancer | Dexrazoxane for preventing or reducing cardiotoxicity in adults and children with cancer receiving anthracyclines | Esmée C de Baat, Renée L Mulder, Saro Armenian, Elizabeth AM Feijen, Heynric Grotenhuis, Melissa M Hudson, Annelies MC Mavinkurve-Groothuis, Leontien CM Kremer, Elvira C van Dalen | 27 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009759.pub4/full | Cancer | Extracorporeal photopheresis versus standard treatment for acute graft‐versus‐host disease after haematopoietic stem cell transplantation in children and adolescents | Kathrin Buder, Matthias Zirngibl, Sascha Bapistella, Joerg J Meerpohl, Brigitte Strahm, Dirk Bassler, Marcus Weitz | 27 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012246.pub2/full | Cancer | Debulking hysterectomy followed by chemoradiotherapy versus chemoradiotherapy for FIGO stage (2019) IB3/II cervical cancer | Manas Chakrabarti, Andy Nordin, Juneida Khodabocus | 16 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006332.pub4/full | Cancer | Mu‐opioid antagonists for opioid‐induced bowel dysfunction in people with cancer and people receiving palliative care | Bridget Candy, Louise Jones, Victoria Vickerstaff, Philip J Larkin, Patrick Stone | 15 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011376.pub3/full | Cancer | Interventions for the management of fatigue in adults with a primary brain tumour | Julia Day, Shlomit Yust-Katz, David Cachia, Jeffrey Wefel, Ivo W Tremont Lukats, Helen Bulbeck, Alasdair G Rooney | 12 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013483.pub2/full | Cancer | Contrast‐enhanced ultrasound for the diagnosis of hepatocellular carcinoma in adults with chronic liver disease | Mirella Fraquelli, Tin Nadarevic, Agostino Colli, Cristina Manzotti, Vanja Giljaca, Damir Miletic, Davor Štimac, Giovanni Casazza | 2 September 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007697.pub3/full | Cancer | Ultra‐radical (extensive) surgery versus standard surgery for the primary cytoreduction of advanced epithelial ovarian cancer | Shaun Hiu, Andrew Bryant, Ketankumar Gajjar, Patience T Kunonga, Raj Naik | 30 August 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD010260.pub3/full | Cancer | Hysterectomy with radiotherapy or chemotherapy or both for women with locally advanced cervical cancer | Fani Kokka, Andrew Bryant, Adeola Olaitan, Elly Brockbank, Melanie Powell, David Oram | 22 August 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011964.pub2/full | Cancer | Menopausal status, ultrasound and biomarker tests in combination for the diagnosis of ovarian cancer in symptomatic women | Clare Davenport, Nirmala Rai, Pawana Sharma, Jonathan J Deeks, Sarah Berhane, Sue Mallett, Pratyusha Saha, Rita Champaneria, Susan E Bayliss, Kym IE Snell, Sudha Sundar | 26 July 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008766.pub3/full | Cancer | Taxane monotherapy regimens for the treatment of recurrent epithelial ovarian cancer | Aashna Patel, Roshni Kalachand, Steven Busschots, Ben Doherty, Evangelos Kapros, Denise Lawlor, Neville Hall, Britta K Stordal | 12 July 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD012633.pub2/full | Cancer | Intravenous iron versus oral iron versus no iron with or without erythropoiesis‐ stimulating agents (ESA) for cancer patients with anaemia: a systematic review and network meta‐analysis | Anne Adams, Benjamin Scheckel, Anissa Habsaoui, Madhuri Haque, Kathrin Kuhr, Ina Monsef, Julia Bohlius, Nicole Skoetz | 20 June 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003870.pub7/full | Cancer | Oxycodone for cancer‐related pain | Mia Schmidt-Hansen, Michael I Bennett, Stephanie Arnold, Nathan Bromham, Jennifer S Hilgart, Andrew J Page, Yuan Chi | 9 June 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009898.pub4/full | Cancer | Extracorporeal photopheresis versus alternative treatment for chronic graft‐versus‐host disease after haematopoietic stem cell transplantation in children and adolescents | Kathrin Buder, Matthias Zirngibl, Sascha Bapistella, Joerg J Meerpohl, Brigitte Strahm, Dirk Bassler, Marcus Weitz | 9 June 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009276.pub2/full | Cancer | Guaiac‐based faecal occult blood tests versus faecal immunochemical tests for colorectal cancer screening in average‐risk individuals | Esmée J Grobbee, Pieter HA Wisse, Eline H Schreuders, Aafke van Roon, Leonie van Dam, Ann G Zauber, Iris Lansdorp-Vogelaar, Wichor Bramer, Sarah Berhane, Jonathan J Deeks, Ewout W Steyerberg, Monique E van Leerdam, Manon CW Spaander, Ernst J Kuipers | 6 June 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD013259.pub2/full | Cancer | Prehabilitation versus no prehabilitation to improve functional capacity, reduce postoperative complications and improve quality of life in colorectal cancer surgery | Charlotte JL Molenaar, Stefan J van Rooijen, Hugo JP Fokkenrood, Rudi MH Roumen, Loes Janssen, Gerrit D Slooter | 19 May 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009569.pub4/full | Cancer | Gases for establishing pneumoperitoneum during laparoscopic abdominal surgery | Xudong Yang, Yao Cheng, Nansheng Cheng, Jianping Gong, Lian Bai, Longshuan Zhao, Yilei Deng | 15 March 2022

https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD008239.pub5/full | Cancer | Perioperative enhanced recovery programmes for women with gynaecological cancers | Janita Pak Chun Chau, Xu Liu, Suzanne Hoi Shan Lo, Wai Tong Chien, Sze Ki Hui, Kai Chow Choi, Jie Zhao | 15 March 2022

